KabKota_bpjs;KabKota_jml;Provinsi;Rokok;Gula;Minuman;Mie;Minyak;Buah;Sayur;IPM;IPM_level;Kepadatan_level;Penc_Air_level;Penc_Udara_level;Sanitasi_level;Rokok_level;Sayur_level;Gula_level;persen_DM;persen_TB;DM_level;TB_level
Kota Pagar Alam;Kota Pagar Alam;SUMATERA SELATAN;22.629;1.924;1.645;0.992;0.282;0.479;2.237;68.68;0;0;0;1;1;1;1;0;0.0623663578047042;0.102801688689073;3;4
Kota Lubuklinggau;Kota Lubuklinggau;SUMATERA SELATAN;15.785;1.559;1.644;1.143;0.308;0.614;2.004;74.89;1;0;0;1;1;0;1;0;0.0937356301510382;0.0769339605956634;4;3
Bengkulu Selatan;Bengkulu Selatan;BENGKULU;21.718;1.154;0.802;0.733;0.904;0.65;1.735;70.75;1;0;0;0;0;1;0;0;0.0763602784486433;0.088199081308898;3;3
Rejang Lebong;Rejang Lebong;BENGKULU;21.544;1.464;1.71;0.912;0.352;0.62;1.931;70.77;1;0;0;0;0;1;1;0;0.0529638271375199;0.0654890565281496;3;3
Bengkulu Utara;Bengkulu Utara;BENGKULU;24.193;1.752;1.532;0.808;0.586;0.695;2.119;69.28;0;0;0;0;0;1;1;0;0.0668177938233771;0.057372346528973;3;3
Kaur;Kaur;BENGKULU;28.258;1.582;0.994;0.756;0.885;0.577;1.882;67.17;0;0;0;0;0;1;0;0;0.0299387407305053;0.0913515422289776;1;4
Seluma;Seluma;BENGKULU;25.717;1.553;1.197;0.789;0.802;0.586;1.826;67.03;0;0;0;0;0;1;0;0;0.0536806565991891;0.0649818474621763;3;3
Mukomuko;Mukomuko;BENGKULU;26.419;1.546;2.552;0.608;0.561;0.589;1.957;68.64;0;0;0;0;0;1;1;1;0.0630696837740899;0.0954271737103621;3;4
Lebong;Lebong;BENGKULU;34.554;1.739;1.907;0.531;0.435;0.605;1.99;67.46;0;0;0;0;0;1;1;0;0.0690820489362298;0.122293897441164;3;4
Kepahiang;Kepahiang;BENGKULU;21.067;1.484;0.992;0.714;0.425;0.627;2.043;68.62;0;0;0;0;0;1;1;0;0.0534011946045015;0.0830685249403357;3;3
Bengkulu Tengah;Bengkulu Tengah;BENGKULU;23.736;1.549;0.895;0.647;0.534;0.565;1.92;67.96;0;0;0;0;0;1;1;0;0.0797944634918408;0.130652473189937;3;4
Kota Bengkulu;Kota Bengkulu;BENGKULU;18.103;1.089;1.54;0.786;0.4;0.647;1.947;80.54;1;0;0;0;0;1;1;0;0.0830764817786485;0.0695461101534615;4;3
Lampung Barat;Lampung Barat;LAMPUNG;15.443;1.837;1.428;0.717;0.37;0.596;2.662;67.9;0;1;0;0;1;0;1;0;0.0265228538590752;0.0478066254743825;1;2
Tanggamus;Tanggamus;LAMPUNG;19.73;1.538;1.047;0.716;0.411;0.708;2.392;66.65;0;1;0;0;1;1;1;0;0.0245757590277273;0.0329222432258234;1;2
Lampung Selatan;Lampung Selatan;LAMPUNG;19.703;1.545;1.651;0.894;0.445;0.592;2.295;68.49;0;1;0;0;1;1;1;0;0.0258474369394337;0.0220181870224806;1;1
Lampung Timur;Lampung Timur;LAMPUNG;19.51;1.561;0.974;0.659;0.491;0.667;2.857;69.66;1;1;0;0;1;1;1;0;0.0286837456696007;0.0206665496749918;1;1
Lampung Tengah;Lampung Tengah;LAMPUNG;17.189;1.602;1.3;0.726;0.497;0.611;2.408;70.23;1;1;0;0;1;1;1;0;0.0265402484221416;0.0168584741252889;1;1
Lampung Utara;Lampung Utara;LAMPUNG;18.541;1.717;1.403;0.865;0.367;0.441;2.371;67.89;0;1;0;0;1;1;1;0;0.0329123563311112;0.0327510212510567;1;2
Way Kanan;Way Kanan;LAMPUNG;19.987;1.841;1.597;0.805;0.403;0.71;2.217;67.57;0;1;0;0;1;1;1;0;0.0270907097765961;0.0361209463687949;1;2
Tulangbawang;Tulang bawang;LAMPUNG;19.985;1.225;1.288;0.686;0.352;0.586;2.33;68.73;0;1;0;0;1;1;1;0;0.0473764970148093;0.0374769304744014;2;2
Pesawaran;Pesawaran;LAMPUNG;20.822;1.589;1.187;0.577;0.452;0.665;2.653;66.14;0;1;0;0;1;1;1;0;0.0307194089189345;0.0437999314263517;1;2
Pringsewu;Pringsewu;LAMPUNG;19.425;1.549;1.381;0.62;0.461;0.706;2.529;70.45;1;1;0;0;1;1;1;0;0.0392373062347583;0.0394856436159909;2;2
Mesuji;Mesuji;LAMPUNG;20.246;1.531;1.092;0.703;0.418;0.532;2.321;64.04;0;1;0;0;1;1;1;0;0.0305267366918476;0.053314300701255;1;2
Tulang Bawang Barat;Tulang Bawang Barat;LAMPUNG;20.793;1.537;0.798;0.633;0.359;0.415;2.33;66.22;0;1;0;0;1;1;1;0;0.0603432293806095;0.050891880200514;3;2
Pesisir Barat;Pesisir Barat;LAMPUNG;24.91;1.565;1.51;0.765;0.627;0.569;2.068;64.3;0;1;0;0;1;1;1;0;0.0486982581007679;0.0636823375163888;2;3
Kota Bandar Lampung;Kota Bandar Lampung;LAMPUNG;16.152;1.266;2.333;0.92;0.331;0.575;2.01;77.58;1;1;0;0;1;0;1;0;0.0494400596323181;0.022226898603931;2;1
Kota Metro;Kota Metro;LAMPUNG;18.547;0.967;1.874;0.866;0.392;0.677;1.976;77.49;1;1;0;0;1;1;1;0;0.154890840238638;0.0901075990741886;4;4
